,State,Year,Total,Male,Female,Causes_Bankruptcy or Sudden change in Economic Status,Causes_Cancellation/Non-Settlement of Marriage,Causes_Cancer,Causes_Causes Not known,Causes_Death of Dear Person,Causes_Divorce,Causes_Dowry Dispute,Causes_Drug Abuse/Addiction,Causes_Failure in Examination,Causes_Fall in Social Reputation,Causes_Family Problems,Causes_Ideological Causes/Hero Worshipping,Causes_Illegitimate Pregnancy,Causes_Illness (Aids/STD),Causes_Insanity/Mental Illness,Causes_Love Affairs,Causes_Not having Children (Barrenness/Impotency,Causes_Other Causes (Please Specity),Causes_Other Prolonged Illness,Causes_Paralysis,Causes_Physical Abuse (Rape/Incest Etc.),Causes_Poverty,Causes_Professional/Career Problem,Causes_Property Dispute,Causes_Suspected/Illicit Relation,Causes_Unemployment,Education_Status_Diploma,Education_Status_Graduate,Education_Status_Hr. Secondary/Intermediate/Pre-Universit,Education_Status_Matriculate/Secondary,Education_Status_Middle,Education_Status_No Education,Education_Status_Post Graduate and Above,Education_Status_Primary,Means_adopted_By Consuming Insecticides,Means_adopted_By Consuming Other Poison,Means_adopted_By Drowning,Means_adopted_By Fire-Arms,Means_adopted_By Fire/Self Immolation,Means_adopted_By Hanging,Means_adopted_By Jumping from (Building),Means_adopted_By Jumping from (Other sites),Means_adopted_By Jumping off Moving Vehicles/Trains,Means_adopted_By Machine,Means_adopted_By Other means,Means_adopted_By Other means (please specify),Means_adopted_By Over Alcoholism,Means_adopted_By Overdose of sleeping pills,Means_adopted_By Self Infliction of injury,Means_adopted_By coming under running vehicles/trains,Means_adopted_By touching electric wires,Professional_Profile_Farming/Agriculture Activity,Professional_Profile_House Wife,Professional_Profile_Others (Please Specify),Professional_Profile_Professional Activity,Professional_Profile_Public Sector Undertaking,Professional_Profile_Retired Person,Professional_Profile_Self-employed (Business activity),Professional_Profile_Service (Government),Professional_Profile_Service (Private),Professional_Profile_Student,Professional_Profile_Unemployed,Social_Status_Divorcee,Social_Status_Married,Social_Status_Never Married,Social_Status_Seperated,Social_Status_Widowed/Widower,Total_Causes,Total_Education_Status,Total_Means_adopted,Total_Professional_Profile,Total_Social_Status
7,A & N Islands,2008,143.0,98.0,45.0,2.0,2.0,0.0,26.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,9.0,0.0,40.0,35.0,0.0,0.0,2.0,0.0,1.0,4.0,0.0,0,0,26,49,40,15,1,12,0.0,19.0,0.0,0.0,4.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,32.0,15.0,0.0,0.0,4.0,1.0,7.0,44.0,11.0,5.0,0,104,39,0,0,143.0,143.0,143.0,142.0,143.0
19,Andhra Pradesh,2008,14354.0,9721.0,4633.0,661.0,62.0,55.0,768.0,26.0,29.0,153.0,50.0,223.0,58.0,2622.0,8.0,7.0,352.0,997.0,263.0,58.0,2962.0,2868.0,131.0,1.0,1505.0,205.0,117.0,82.0,91.0,112,297,1241,1992,2744,4686,84,3198,4929.0,2173.0,731.0,27.0,1288.0,2952.0,38.0,27.0,31.0,7.0,0.0,1241.0,226.0,43.0,20.0,554.0,67.0,2105.0,2516.0,5013.0,492.0,641.0,67.0,965.0,305.0,1157.0,481.0,571.0,303,10569,2367,311,804,14354.0,14354.0,14354.0,14313.0,14354.0
31,Arunachal Pradesh,2008,110.0,77.0,33.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,1.0,3.0,0.0,27.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,14,34,22,0,39,0.0,3.0,1.0,2.0,0.0,103.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,14.0,32.0,0.0,0.0,0.0,0.0,26.0,8.0,5.0,12.0,1,85,21,0,3,110.0,110.0,110.0,109.0,110.0
43,Assam,2008,2989.0,1970.0,1019.0,0.0,12.0,32.0,888.0,64.0,0.0,8.0,17.0,119.0,16.0,417.0,2.0,24.0,6.0,37.0,396.0,10.0,277.0,157.0,7.0,13.0,218.0,6.0,209.0,24.0,30.0,27,39,165,455,889,786,0,628,73.0,555.0,368.0,6.0,41.0,1256.0,6.0,22.0,21.0,2.0,0.0,480.0,26.0,2.0,10.0,60.0,61.0,197.0,573.0,1251.0,137.0,53.0,5.0,429.0,21.0,73.0,206.0,44.0,71,1725,745,262,186,2989.0,2989.0,2989.0,2989.0,2989.0
55,Bihar,2008,1015.0,609.0,406.0,6.0,6.0,0.0,202.0,6.0,0.0,26.0,23.0,23.0,0.0,152.0,0.0,1.0,0.0,17.0,48.0,5.0,356.0,76.0,7.0,4.0,21.0,1.0,2.0,12.0,21.0,2,25,43,168,173,335,1,268,128.0,59.0,137.0,7.0,86.0,73.0,7.0,3.0,0.0,2.0,0.0,439.0,31.0,3.0,11.0,0.0,29.0,67.0,174.0,562.0,5.0,23.0,15.0,15.0,8.0,35.0,58.0,53.0,25,617,281,39,53,1015.0,1015.0,1015.0,1015.0,1015.0
67,Chandigarh,2008,83.0,58.0,25.0,6.0,0.0,0.0,5.0,0.0,0.0,2.0,4.0,5.0,1.0,29.0,0.0,0.0,0.0,2.0,8.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0,8,15,23,21,7,1,8,15.0,1.0,0.0,4.0,7.0,54.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,2.0,8.0,3.0,18.0,11.0,23.0,1,57,25,0,0,83.0,83.0,83.0,83.0,83.0
79,Chhattisgarh,2008,4945.0,3248.0,1697.0,32.0,13.0,6.0,1613.0,38.0,2.0,60.0,165.0,53.0,40.0,960.0,0.0,4.0,32.0,258.0,143.0,18.0,729.0,587.0,32.0,55.0,14.0,38.0,12.0,18.0,23.0,16,38,403,832,1432,680,7,1537,989.0,448.0,193.0,5.0,726.0,2156.0,7.0,0.0,52.0,0.0,0.0,135.0,70.0,12.0,37.0,97.0,18.0,1773.0,937.0,1180.0,93.0,10.0,2.0,157.0,45.0,201.0,370.0,177.0,10,3579,1077,38,241,4945.0,4945.0,4945.0,4945.0,4945.0
91,D & N Haveli,2008,60.0,32.0,28.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,0.0,0.0,19.0,0.0,0.0,0.0,13.0,1.0,4.0,6.0,2.0,0.0,0.0,1.0,1.0,1.0,4.0,1.0,1,3,1,4,7,23,0,21,6.0,7.0,5.0,0.0,3.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,23.0,5.0,0.0,0.0,0.0,1.0,1.0,17.0,1.0,0.0,0,46,14,0,0,60.0,60.0,60.0,60.0,60.0
103,Daman & Diu,2008,19.0,14.0,5.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,2,8,2,3,0,3,0.0,3.0,3.0,1.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,8.0,0.0,3.0,1,7,8,0,3,19.0,19.0,19.0,19.0,19.0
115,Delhi (Ut),2008,1303.0,795.0,508.0,29.0,17.0,3.0,441.0,10.0,0.0,47.0,21.0,61.0,8.0,274.0,1.0,3.0,16.0,23.0,63.0,3.0,108.0,60.0,1.0,1.0,23.0,16.0,18.0,8.0,48.0,10,48,181,339,301,185,10,229,52.0,182.0,1.0,9.0,93.0,861.0,29.0,1.0,2.0,0.0,0.0,54.0,11.0,3.0,1.0,1.0,3.0,16.0,276.0,284.0,7.0,38.0,2.0,21.0,15.0,213.0,175.0,252.0,6,825,373,45,54,1303.0,1303.0,1303.0,1299.0,1303.0
127,Goa,2008,287.0,183.0,104.0,0.0,0.0,1.0,77.0,2.0,0.0,0.0,5.0,1.0,0.0,35.0,0.0,1.0,1.0,44.0,15.0,2.0,55.0,22.0,0.0,0.0,4.0,1.0,0.0,2.0,19.0,2,3,38,56,84,47,7,50,8.0,17.0,51.0,3.0,17.0,162.0,0.0,9.0,0.0,0.0,0.0,10.0,2.0,4.0,0.0,4.0,0.0,6.0,65.0,47.0,1.0,0.0,2.0,12.0,4.0,63.0,12.0,71.0,9,169,99,6,4,287.0,287.0,287.0,283.0,287.0
139,Gujarat,2008,6165.0,3735.0,2430.0,183.0,126.0,44.0,1128.0,62.0,39.0,47.0,57.0,105.0,85.0,1220.0,11.0,0.0,38.0,649.0,184.0,60.0,768.0,696.0,57.0,18.0,123.0,98.0,27.0,89.0,251.0,16,89,323,970,1197,1393,8,2169,1485.0,992.0,511.0,5.0,947.0,1599.0,35.0,14.0,11.0,3.0,0.0,117.0,13.0,89.0,19.0,293.0,32.0,526.0,1744.0,1324.0,428.0,127.0,187.0,290.0,62.0,608.0,304.0,558.0,85,4477,1259,101,243,6165.0,6165.0,6165.0,6158.0,6165.0
