,State,Year,Total,Male,Female,Causes_Bankruptcy or Sudden change in Economic Status,Causes_Cancellation/Non-Settlement of Marriage,Causes_Cancer,Causes_Causes Not known,Causes_Death of Dear Person,Causes_Divorce,Causes_Dowry Dispute,Causes_Drug Abuse/Addiction,Causes_Failure in Examination,Causes_Fall in Social Reputation,Causes_Family Problems,Causes_Ideological Causes/Hero Worshipping,Causes_Illegitimate Pregnancy,Causes_Illness (Aids/STD),Causes_Insanity/Mental Illness,Causes_Love Affairs,Causes_Not having Children (Barrenness/Impotency,Causes_Not having Children(Barrenness/Impotency,Causes_Other Causes (Please Specity),Causes_Other Prolonged Illness,Causes_Paralysis,Causes_Physical Abuse (Rape/Incest Etc.),Causes_Poverty,Causes_Professional/Career Problem,Causes_Property Dispute,Causes_Suspected/Illicit Relation,Causes_Unemployment,Education_Status_Diploma,Education_Status_Graduate,Education_Status_Hr. Secondary/Intermediate/Pre-Universit,Education_Status_Matriculate/Secondary,Education_Status_Middle,Education_Status_No Education,Education_Status_Post Graduate and Above,Education_Status_Primary,Means_adopted_By Consuming Insecticides,Means_adopted_By Consuming Other Poison,Means_adopted_By Drowning,Means_adopted_By Fire-Arms,Means_adopted_By Fire/Self Immolation,Means_adopted_By Hanging,Means_adopted_By Jumping from (Building),Means_adopted_By Jumping from (Other sites),Means_adopted_By Jumping off Moving Vehicles/Trains,Means_adopted_By Machine,Means_adopted_By Other means,Means_adopted_By Other means (please specify),Means_adopted_By Over Alcoholism,Means_adopted_By Overdose of sleeping pills,Means_adopted_By Self Infliction of injury,Means_adopted_By coming under running vehicles/trains,Means_adopted_By touching electric wires,Professional_Profile_Farming/Agriculture Activity,Professional_Profile_House Wife,Professional_Profile_Others (Please Specify),Professional_Profile_Professional Activity,Professional_Profile_Public Sector Undertaking,Professional_Profile_Retired Person,Professional_Profile_Self-employed (Business activity),Professional_Profile_Service (Government),Professional_Profile_Service (Private),Professional_Profile_Student,Professional_Profile_Unemployed,Social_Status_Divorcee,Social_Status_Married,Social_Status_Never Married,Social_Status_Seperated,Social_Status_Widowed/Widower,Total_Causes,Total_Education_Status,Total_Means_adopted,Total_Professional_Profile,Total_Social_Status
2,A & N Islands,2003,113.0,70.0,43.0,0.0,2.0,0.0,20.0,1.0,0.0,0.0,0.0,1.0,4.0,22.0,0.0,0.0,0.0,9.0,8.0,0.0,1.0,18.0,23.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0,4,5,36,59,3,0,6,10.0,0.0,1.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,0.0,0.0,3.0,2.0,0.0,15.0,42.0,10.0,12.0,0,79,34,0,0,113.0,113.0,113.0,113.0,113.0
14,Andhra Pradesh,2003,11409.0,7513.0,3896.0,233.0,50.0,135.0,814.0,48.0,20.0,333.0,31.0,238.0,98.0,2404.0,88.0,23.0,406.0,834.0,256.0,0.0,32.0,1691.0,2460.0,15.0,50.0,695.0,43.0,184.0,116.0,112.0,73,154,603,1162,2366,4243,33,2775,4254.0,1363.0,678.0,23.0,1055.0,2371.0,32.0,62.0,54.0,6.0,0.0,657.0,74.0,85.0,23.0,597.0,75.0,1800.0,1929.0,4201.0,417.0,176.0,129.0,704.0,286.0,472.0,569.0,726.0,146,8306,1979,380,598,11409.0,11409.0,11409.0,11409.0,11409.0
26,Arunachal Pradesh,2003,81.0,54.0,27.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,22,20,24,0,12,1.0,7.0,1.0,1.0,2.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,18.0,0.0,0.0,1.0,0.0,26.0,14.0,3.0,5.0,3.0,0,61,18,1,1,81.0,81.0,81.0,81.0,81.0
38,Assam,2003,2596.0,1676.0,920.0,2.0,25.0,16.0,798.0,10.0,29.0,29.0,6.0,84.0,38.0,267.0,0.0,19.0,16.0,64.0,370.0,0.0,2.0,329.0,60.0,3.0,0.0,88.0,0.0,81.0,15.0,245.0,20,37,260,387,665,429,29,769,46.0,364.0,380.0,13.0,85.0,1108.0,21.0,21.0,14.0,6.0,0.0,391.0,29.0,0.0,0.0,88.0,30.0,187.0,381.0,1071.0,34.0,95.0,1.0,207.0,15.0,96.0,220.0,272.0,56,1204,739,294,303,2596.0,2596.0,2596.0,2579.0,2596.0
50,Bihar,2003,599.0,351.0,248.0,0.0,4.0,5.0,131.0,17.0,2.0,30.0,5.0,12.0,1.0,149.0,4.0,3.0,7.0,3.0,17.0,0.0,1.0,163.0,18.0,2.0,3.0,7.0,2.0,3.0,8.0,2.0,1,24,46,108,106,202,6,106,84.0,118.0,36.0,8.0,66.0,80.0,6.0,6.0,8.0,1.0,0.0,145.0,11.0,7.0,3.0,8.0,12.0,46.0,138.0,183.0,25.0,3.0,6.0,21.0,5.0,27.0,59.0,75.0,9,372,176,21,21,599.0,599.0,599.0,588.0,599.0
62,Chandigarh,2003,103.0,68.0,35.0,2.0,1.0,0.0,9.0,0.0,0.0,3.0,4.0,2.0,0.0,32.0,0.0,0.0,0.0,13.0,2.0,0.0,1.0,30.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,4,5,48,17,14,0,15,0.0,36.0,0.0,3.0,10.0,52.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,22.0,14.0,2.0,0.0,2.0,0.0,9.0,25.0,12.0,15.0,0,72,31,0,0,103.0,103.0,103.0,103.0,103.0
74,Chhattisgarh,2003,3919.0,2592.0,1327.0,37.0,12.0,2.0,1073.0,108.0,1.0,46.0,98.0,41.0,22.0,497.0,1.0,9.0,25.0,199.0,89.0,0.0,14.0,1149.0,383.0,7.0,7.0,26.0,7.0,17.0,28.0,21.0,5,33,197,570,818,1210,3,1083,631.0,421.0,279.0,3.0,244.0,1639.0,40.0,9.0,17.0,3.0,0.0,350.0,63.0,2.0,2.0,137.0,79.0,1066.0,551.0,1521.0,128.0,26.0,4.0,57.0,57.0,120.0,205.0,184.0,5,2700,856,22,336,3919.0,3919.0,3919.0,3919.0,3919.0
86,D & N Haveli,2003,52.0,30.0,22.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,0.0,1.0,1.0,24.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,15,2,33,0,2,0.0,18.0,0.0,0.0,0.0,29.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,23.0,21.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,1,38,10,1,2,52.0,52.0,52.0,52.0,52.0
98,Daman & Diu,2003,24.0,18.0,6.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,2,7,4,1,9,2.0,1.0,1.0,0.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,3.0,0,14,9,0,1,24.0,24.0,24.0,22.0,24.0
110,Delhi (Ut),2003,1153.0,741.0,412.0,10.0,14.0,5.0,331.0,3.0,3.0,43.0,18.0,37.0,2.0,327.0,0.0,0.0,0.0,20.0,27.0,0.0,2.0,154.0,88.0,0.0,4.0,26.0,0.0,3.0,5.0,31.0,9,33,138,246,278,189,1,259,58.0,197.0,5.0,61.0,107.0,538.0,53.0,5.0,6.0,0.0,0.0,80.0,8.0,4.0,4.0,14.0,13.0,8.0,221.0,311.0,7.0,11.0,0.0,25.0,31.0,128.0,117.0,294.0,4,743,354,42,10,1153.0,1153.0,1153.0,1153.0,1153.0
122,Goa,2003,300.0,213.0,87.0,7.0,0.0,0.0,74.0,1.0,0.0,1.0,2.0,5.0,0.0,43.0,0.0,0.0,0.0,62.0,19.0,0.0,0.0,28.0,33.0,0.0,0.0,1.0,3.0,2.0,1.0,18.0,1,6,17,72,85,62,3,54,18.0,17.0,71.0,1.0,34.0,138.0,3.0,1.0,2.0,0.0,0.0,7.0,3.0,1.0,0.0,4.0,0.0,18.0,49.0,54.0,3.0,1.0,0.0,18.0,8.0,72.0,19.0,58.0,0,168,124,0,8,300.0,300.0,300.0,300.0,300.0
134,Gujarat,2003,4566.0,2650.0,1916.0,129.0,79.0,29.0,863.0,57.0,22.0,13.0,23.0,58.0,81.0,805.0,15.0,1.0,16.0,518.0,161.0,0.0,54.0,428.0,598.0,70.0,49.0,137.0,62.0,39.0,37.0,222.0,17,55,208,612,803,1143,12,1716,1120.0,884.0,246.0,12.0,840.0,1088.0,32.0,15.0,21.0,1.0,0.0,111.0,10.0,19.0,18.0,141.0,8.0,581.0,1374.0,718.0,390.0,47.0,123.0,228.0,76.0,381.0,187.0,461.0,62,3358,874,49,223,4566.0,4566.0,4566.0,4566.0,4566.0
146,Haryana,2003,2227.0,1613.0,614.0,14.0,71.0,14.0,235.0,30.0,1.0,15.0,78.0,35.0,22.0,286.0,34.0,0.0,74.0,236.0,31.0,0.0,11.0,715.0,112.0,2.0,14.0,26.0,13.0,92.0,17.0,49.0,72,39,184,593,503,481,7,348,407.0,371.0,153.0,32.0,188.0,347.0,3.0,18.0,7.0,13.0,0.0,504.0,31.0,7.0,47.0,53.0,46.0,207.0,321.0,788.0,33.0,71.0,30.0,136.0,78.0,226.0,125.0,212.0,36,1695,356,55,85,2227.0,2227.0,2227.0,2227.0,2227.0
