,State,Year,Total,Male,Female,Causes_Bankruptcy or Sudden change in Economic Status,Causes_Cancellation/Non-Settlement of Marriage,Causes_Cancer,Causes_Causes Not known,Causes_Death of Dear Person,Causes_Divorce,Causes_Dowry Dispute,Causes_Drug Abuse/Addiction,Causes_Failure in Examination,Causes_Fall in Social Reputation,Causes_Family Problems,Causes_Ideological Causes/Hero Worshipping,Causes_Illegitimate Pregnancy,Causes_Illness (Aids/STD),Causes_Insanity/Mental Illness,Causes_Love Affairs,Causes_Not having Children (Barrenness/Impotency,Causes_Not having Children(Barrenness/Impotency,Causes_Other Causes (Please Specity),Causes_Other Prolonged Illness,Causes_Paralysis,Causes_Physical Abuse (Rape/Incest Etc.),Causes_Poverty,Causes_Professional/Career Problem,Causes_Property Dispute,Causes_Suspected/Illicit Relation,Causes_Unemployment,Education_Status_Diploma,Education_Status_Graduate,Education_Status_Hr. Secondary/Intermediate/Pre-Universit,Education_Status_Matriculate/Secondary,Education_Status_Middle,Education_Status_No Education,Education_Status_Post Graduate and Above,Education_Status_Primary,Means_adopted_By Consuming Insecticides,Means_adopted_By Consuming Other Poison,Means_adopted_By Drowning,Means_adopted_By Fire-Arms,Means_adopted_By Fire/Self Immolation,Means_adopted_By Hanging,Means_adopted_By Jumping from (Building),Means_adopted_By Jumping from (Other sites),Means_adopted_By Jumping off Moving Vehicles/Trains,Means_adopted_By Machine,Means_adopted_By Other means,Means_adopted_By Other means (please specify),Means_adopted_By Over Alcoholism,Means_adopted_By Overdose of sleeping pills,Means_adopted_By Self Infliction of injury,Means_adopted_By coming under running vehicles/trains,Means_adopted_By touching electric wires,Professional_Profile_Farming/Agriculture Activity,Professional_Profile_House Wife,Professional_Profile_Others (Please Specify),Professional_Profile_Professional Activity,Professional_Profile_Public Sector Undertaking,Professional_Profile_Retired Person,Professional_Profile_Self-employed (Business activity),Professional_Profile_Service (Government),Professional_Profile_Service (Private),Professional_Profile_Student,Professional_Profile_Unemployed,Social_Status_Divorcee,Social_Status_Married,Social_Status_Never Married,Social_Status_Seperated,Social_Status_Widowed/Widower,Total_Causes,Total_Education_Status,Total_Means_adopted,Total_Professional_Profile,Total_Social_Status
275,Meghalaya,2012,128.0,90.0,38.0,0.0,0.0,1.0,97.0,0.0,1.0,0.0,2.0,0.0,0.0,18.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,29,26,29,0,43,2.0,0.0,0.0,1.0,5.0,118.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,14.0,25.0,3.0,1.0,0.0,18.0,4.0,5.0,25.0,23.0,1,74,50,0,3,128.0,128.0,128.0,128.0,128.0
287,Mizoram,2012,173.0,157.0,16.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,61.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0,0,2,35,67,53,0,16,0.0,0.0,8.0,3.0,3.0,94.0,4.0,17.0,0.0,3.0,0.0,28.0,1.0,0.0,0.0,1.0,11.0,10.0,1.0,16.0,0.0,0.0,4.0,39.0,2.0,20.0,7.0,66.0,0,44,87,38,4,173.0,173.0,173.0,165.0,173.0
299,Nagaland,2012,30.0,24.0,6.0,0.0,0.0,0.0,22.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,3,12,6,0,7,0.0,0.0,0.0,0.0,0.0,27.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,3.0,1.0,3.0,0.0,0.0,3.0,6.0,0.0,4.0,1.0,1,13,16,0,0,30.0,30.0,30.0,30.0,30.0
311,Odisha,2012,5027.0,2896.0,2131.0,36.0,53.0,49.0,1319.0,21.0,6.0,107.0,15.0,116.0,72.0,911.0,3.0,5.0,33.0,85.0,325.0,0.0,5.0,1509.0,90.0,0.0,0.0,18.0,16.0,31.0,141.0,61.0,69,292,492,938,1122,1042,30,1042,1018.0,605.0,126.0,4.0,43.0,1193.0,0.0,17.0,22.0,0.0,0.0,1819.0,30.0,2.0,2.0,114.0,32.0,146.0,870.0,1717.0,163.0,127.0,60.0,416.0,64.0,487.0,423.0,554.0,47,3272,1398,120,190,5027.0,5027.0,5027.0,5027.0,5027.0
323,Puducherry,2012,541.0,372.0,169.0,0.0,13.0,2.0,18.0,15.0,0.0,0.0,0.0,9.0,5.0,220.0,0.0,0.0,0.0,23.0,10.0,0.0,5.0,77.0,140.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,16,15,67,209,174,16,6,38,25.0,37.0,0.0,0.0,51.0,408.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,0.0,0.0,103.0,138.0,106.0,2.0,6.0,18.0,20.0,20.0,45.0,83.0,0,398,126,0,17,541.0,541.0,541.0,541.0,541.0
335,Punjab,2012,1030.0,784.0,246.0,7.0,2.0,0.0,166.0,11.0,6.0,25.0,91.0,22.0,7.0,198.0,0.0,0.0,0.0,295.0,29.0,0.0,4.0,30.0,83.0,7.0,0.0,14.0,8.0,7.0,11.0,7.0,9,16,93,270,147,348,0,147,106.0,65.0,34.0,12.0,35.0,311.0,2.0,11.0,1.0,0.0,0.0,10.0,5.0,4.0,7.0,427.0,0.0,75.0,173.0,351.0,25.0,17.0,8.0,39.0,14.0,181.0,57.0,90.0,5,639,369,10,7,1030.0,1030.0,1030.0,1030.0,1030.0
347,Rajasthan,2012,4821.0,3227.0,1594.0,22.0,25.0,7.0,663.0,12.0,8.0,51.0,152.0,74.0,19.0,1242.0,5.0,0.0,3.0,451.0,178.0,0.0,14.0,1442.0,196.0,3.0,0.0,10.0,72.0,84.0,59.0,29.0,44,148,361,894,862,1541,30,941,542.0,327.0,313.0,41.0,267.0,1429.0,27.0,113.0,84.0,8.0,0.0,1290.0,103.0,35.0,3.0,142.0,97.0,270.0,894.0,2461.0,97.0,44.0,11.0,178.0,53.0,398.0,240.0,175.0,33,3355,1275,35,123,4821.0,4821.0,4821.0,4821.0,4821.0
359,Sikkim,2012,181.0,96.0,85.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,28.0,5.0,42.0,34.0,0.0,3.0,0.0,39.0,14.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,23,60,32,10,10,40,1.0,0.0,15.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,10.0,33.0,2.0,0.0,0.0,0.0,19.0,22.0,20.0,11.0,10.0,0.0,15.0,23.0,22.0,20.0,19.0,18,90,43,13,17,181.0,181.0,181.0,181.0,181.0
371,Tamil Nadu,2012,16927.0,10748.0,6179.0,39.0,70.0,29.0,1427.0,99.0,16.0,42.0,242.0,238.0,6.0,4842.0,6.0,21.0,8.0,567.0,488.0,0.0,63.0,5112.0,2997.0,62.0,5.0,38.0,85.0,111.0,103.0,211.0,793,986,2384,2567,3707,3810,146,2534,1861.0,3459.0,859.0,15.0,2349.0,5393.0,38.0,102.0,3.0,14.0,0.0,2248.0,134.0,27.0,5.0,294.0,126.0,499.0,2911.0,8103.0,220.0,258.0,71.0,801.0,284.0,1047.0,795.0,1938.0,124,12437,2599,1161,606,16927.0,16927.0,16927.0,16927.0,16927.0
383,Total (All India),2012,135445.0,88453.0,46992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2043,4572,13089,25967,31205,26641,840,31088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1390,95264,30557,3283,4951,0.0,135445.0,0.0,0.0,135445.0
395,Total (States),2012,132667.0,86613.0,46054.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,4439,12694,25118,30493,26341,820,30742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1385,93458,29686,3218,4920,0.0,132667.0,0.0,0.0,132667.0
407,Total (Uts),2012,2778.0,1840.0,938.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,133,395,849,712,300,20,346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1806,871,65,31,0.0,2778.0,0.0,0.0,2778.0
419,Tripura,2012,844.0,560.0,284.0,0.0,0.0,0.0,215.0,0.0,2.0,0.0,0.0,13.0,0.0,161.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,370.0,46.0,0.0,0.0,0.0,7.0,0.0,4.0,2.0,1,0,41,130,402,15,0,255,96.0,24.0,47.0,1.0,6.0,401.0,0.0,0.0,0.0,0.0,0.0,253.0,5.0,0.0,6.0,0.0,5.0,18.0,128.0,525.0,6.0,0.0,0.0,55.0,2.0,6.0,76.0,28.0,0,573,217,34,20,844.0,844.0,844.0,844.0,844.0
431,Uttar Pradesh,2012,4422.0,2495.0,1927.0,17.0,51.0,11.0,685.0,23.0,19.0,422.0,124.0,243.0,120.0,1158.0,8.0,5.0,74.0,216.0,214.0,0.0,34.0,354.0,235.0,4.0,82.0,47.0,49.0,81.0,69.0,77.0,101,301,757,885,810,762,60,746,287.0,403.0,248.0,147.0,634.0,1581.0,55.0,109.0,109.0,9.0,0.0,240.0,101.0,97.0,66.0,235.0,101.0,745.0,1077.0,1064.0,130.0,56.0,10.0,227.0,89.0,470.0,305.0,246.0,71,2762,1143,139,307,4422.0,4422.0,4422.0,4419.0,4422.0
443,Uttarakhand,2012,424.0,249.0,175.0,0.0,0.0,0.0,142.0,0.0,6.0,0.0,8.0,6.0,1.0,96.0,0.0,0.0,0.0,9.0,15.0,0.0,1.0,92.0,26.0,0.0,0.0,6.0,2.0,3.0,4.0,7.0,3,27,95,131,73,38,2,55,0.0,53.0,27.0,5.0,16.0,146.0,0.0,2.0,6.0,0.0,0.0,97.0,13.0,0.0,54.0,1.0,4.0,14.0,63.0,218.0,1.0,8.0,0.0,20.0,7.0,47.0,20.0,26.0,6,256,140,2,20,424.0,424.0,424.0,424.0,424.0
455,West Bengal,2012,14957.0,8680.0,6277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,413,897,1994,4139,2205,95,5167,1383.0,2919.0,474.0,28.0,788.0,5064.0,27.0,69.0,155.0,3.0,0.0,3473.0,70.0,100.0,105.0,299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371,9378,4171,349,688,0.0,14957.0,14957.0,0.0,14957.0
