,State,Year,Total,Male,Female,Causes_Bankruptcy or Sudden change in Economic Status,Causes_Cancellation/Non-Settlement of Marriage,Causes_Cancer,Causes_Causes Not known,Causes_Death of Dear Person,Causes_Divorce,Causes_Dowry Dispute,Causes_Drug Abuse/Addiction,Causes_Failure in Examination,Causes_Fall in Social Reputation,Causes_Family Problems,Causes_Ideological Causes/Hero Worshipping,Causes_Illegitimate Pregnancy,Causes_Illness (Aids/STD),Causes_Insanity/Mental Illness,Causes_Love Affairs,Causes_Not having Children (Barrenness/Impotency,Causes_Not having Children(Barrenness/Impotency,Causes_Other Causes (Please Specity),Causes_Other Prolonged Illness,Causes_Paralysis,Causes_Physical Abuse (Rape/Incest Etc.),Causes_Poverty,Causes_Professional/Career Problem,Causes_Property Dispute,Causes_Suspected/Illicit Relation,Causes_Unemployment,Education_Status_Diploma,Education_Status_Graduate,Education_Status_Hr. Secondary/Intermediate/Pre-Universit,Education_Status_Matriculate/Secondary,Education_Status_Middle,Education_Status_No Education,Education_Status_Post Graduate and Above,Education_Status_Primary,Means_adopted_By Consuming Insecticides,Means_adopted_By Consuming Other Poison,Means_adopted_By Drowning,Means_adopted_By Fire-Arms,Means_adopted_By Fire/Self Immolation,Means_adopted_By Hanging,Means_adopted_By Jumping from (Building),Means_adopted_By Jumping from (Other sites),Means_adopted_By Jumping off Moving Vehicles/Trains,Means_adopted_By Machine,Means_adopted_By Other means,Means_adopted_By Other means (please specify),Means_adopted_By Over Alcoholism,Means_adopted_By Overdose of sleeping pills,Means_adopted_By Self Infliction of injury,Means_adopted_By coming under running vehicles/trains,Means_adopted_By touching electric wires,Professional_Profile_Farming/Agriculture Activity,Professional_Profile_House Wife,Professional_Profile_Others (Please Specify),Professional_Profile_Professional Activity,Professional_Profile_Public Sector Undertaking,Professional_Profile_Retired Person,Professional_Profile_Self-employed (Business activity),Professional_Profile_Service (Government),Professional_Profile_Service (Private),Professional_Profile_Student,Professional_Profile_Unemployed,Social_Status_Divorcee,Social_Status_Married,Social_Status_Never Married,Social_Status_Seperated,Social_Status_Widowed/Widower,Total_Causes,Total_Education_Status,Total_Means_adopted,Total_Professional_Profile,Total_Social_Status
3,A & N Islands,2004,122.0,81.0,41.0,1.0,0.0,2.0,17.0,2.0,1.0,0.0,0.0,5.0,0.0,15.0,0.0,0.0,0.0,18.0,6.0,0.0,0.0,8.0,27.0,1.0,0.0,4.0,7.0,1.0,1.0,6.0,0,1,14,29,48,6,0,24,0.0,11.0,1.0,0.0,3.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,25.0,12.0,2.0,0.0,2.0,4.0,20.0,37.0,16.0,1.0,1,83,38,0,0,122.0,122.0,122.0,122.0,122.0
15,Andhra Pradesh,2004,13526.0,9082.0,4444.0,751.0,42.0,140.0,976.0,77.0,21.0,293.0,52.0,189.0,54.0,2577.0,7.0,13.0,384.0,660.0,297.0,0.0,53.0,2228.0,2621.0,76.0,23.0,1342.0,116.0,250.0,125.0,159.0,83,175,733,1574,3109,4780,20,3052,5010.0,2089.0,578.0,12.0,826.0,2960.0,14.0,14.0,111.0,4.0,0.0,979.0,57.0,174.0,9.0,613.0,76.0,2666.0,2315.0,4837.0,410.0,86.0,85.0,980.0,314.0,699.0,492.0,642.0,207,9731,2139,896,553,13526.0,13526.0,13526.0,13526.0,13526.0
27,Arunachal Pradesh,2004,79.0,49.0,30.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,8,21,27,0,23,1.0,8.0,3.0,3.0,3.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,17.0,0.0,0.0,0.0,0.0,14.0,11.0,2.0,10.0,5.0,0,58,21,0,0,79.0,79.0,79.0,79.0,79.0
39,Assam,2004,2839.0,1945.0,894.0,4.0,15.0,32.0,765.0,13.0,16.0,25.0,0.0,106.0,10.0,290.0,0.0,12.0,23.0,30.0,444.0,0.0,3.0,241.0,104.0,3.0,1.0,229.0,2.0,209.0,11.0,251.0,14,29,274,621,790,490,28,593,21.0,474.0,404.0,9.0,64.0,1399.0,8.0,54.0,21.0,15.0,0.0,222.0,6.0,2.0,13.0,86.0,41.0,331.0,446.0,948.0,124.0,65.0,4.0,334.0,12.0,84.0,175.0,299.0,34,1575,823,324,83,2839.0,2839.0,2839.0,2822.0,2839.0
51,Bihar,2004,351.0,212.0,139.0,0.0,2.0,0.0,59.0,2.0,2.0,9.0,5.0,7.0,0.0,140.0,3.0,1.0,0.0,17.0,4.0,0.0,4.0,56.0,21.0,0.0,0.0,8.0,0.0,2.0,7.0,2.0,0,1,20,62,78,129,1,60,62.0,62.0,27.0,5.0,28.0,54.0,0.0,0.0,0.0,0.0,0.0,87.0,4.0,3.0,9.0,4.0,6.0,23.0,90.0,78.0,6.0,8.0,17.0,23.0,8.0,16.0,32.0,50.0,2,234,81,2,32,351.0,351.0,351.0,351.0,351.0
63,Chandigarh,2004,75.0,52.0,23.0,0.0,0.0,0.0,13.0,0.0,1.0,2.0,5.0,7.0,1.0,16.0,0.0,0.0,0.0,5.0,8.0,0.0,0.0,0.0,10.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0,8,7,29,8,13,1,9,3.0,13.0,0.0,0.0,7.0,46.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,17.0,1.0,0.0,0.0,4.0,4.0,11.0,13.0,13.0,0,47,28,0,0,75.0,75.0,75.0,75.0,75.0
75,Chhattisgarh,2004,4495.0,2986.0,1509.0,46.0,13.0,3.0,1383.0,17.0,2.0,57.0,42.0,46.0,17.0,697.0,0.0,3.0,1.0,246.0,117.0,0.0,23.0,1110.0,563.0,14.0,12.0,24.0,10.0,4.0,33.0,12.0,6,32,194,616,1140,1359,7,1141,903.0,469.0,147.0,6.0,311.0,2014.0,7.0,0.0,42.0,2.0,0.0,433.0,26.0,0.0,7.0,117.0,11.0,1395.0,777.0,1700.0,53.0,16.0,0.0,45.0,37.0,82.0,226.0,164.0,11,3275,1014,55,140,4495.0,4495.0,4495.0,4495.0,4495.0
87,D & N Haveli,2004,39.0,20.0,19.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,4,2,2,22,0,9,0.0,11.0,0.0,0.0,5.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,16.0,5.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,3.0,0,33,6,0,0,39.0,39.0,39.0,39.0,39.0
99,Daman & Diu,2004,13.0,5.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,2,3,3,0,5,0.0,1.0,1.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,8,5,0,0,13.0,13.0,13.0,13.0,13.0
111,Delhi (Ut),2004,1256.0,799.0,457.0,9.0,9.0,2.0,373.0,2.0,11.0,52.0,20.0,45.0,11.0,298.0,3.0,0.0,0.0,27.0,25.0,0.0,1.0,167.0,103.0,0.0,2.0,47.0,7.0,2.0,8.0,32.0,8,27,99,325,361,203,5,228,31.0,181.0,9.0,15.0,104.0,683.0,2.0,15.0,12.0,0.0,0.0,195.0,1.0,1.0,6.0,0.0,1.0,13.0,266.0,272.0,5.0,15.0,2.0,31.0,14.0,205.0,110.0,320.0,2,778,438,26,12,1256.0,1256.0,1256.0,1253.0,1256.0
