,State,Year,Total,Male,Female,Causes_Bankruptcy or Sudden change in Economic Status,Causes_Cancellation/Non-Settlement of Marriage,Causes_Cancer,Causes_Causes Not known,Causes_Death of Dear Person,Causes_Divorce,Causes_Dowry Dispute,Causes_Drug Abuse/Addiction,Causes_Failure in Examination,Causes_Fall in Social Reputation,Causes_Family Problems,Causes_Ideological Causes/Hero Worshipping,Causes_Illegitimate Pregnancy,Causes_Illness (Aids/STD),Causes_Insanity/Mental Illness,Causes_Love Affairs,Causes_Not having Children (Barrenness/Impotency,Causes_Other Causes (Please Specity),Causes_Other Prolonged Illness,Causes_Paralysis,Causes_Physical Abuse (Rape/Incest Etc.),Causes_Poverty,Causes_Professional/Career Problem,Causes_Property Dispute,Causes_Suspected/Illicit Relation,Causes_Unemployment,Education_Status_Diploma,Education_Status_Graduate,Education_Status_Hr. Secondary/Intermediate/Pre-Universit,Education_Status_Matriculate/Secondary,Education_Status_Middle,Education_Status_No Education,Education_Status_Post Graduate and Above,Education_Status_Primary,Means_adopted_By Consuming Insecticides,Means_adopted_By Consuming Other Poison,Means_adopted_By Drowning,Means_adopted_By Fire-Arms,Means_adopted_By Fire/Self Immolation,Means_adopted_By Hanging,Means_adopted_By Jumping from (Building),Means_adopted_By Jumping from (Other sites),Means_adopted_By Jumping off Moving Vehicles/Trains,Means_adopted_By Machine,Means_adopted_By Other means,Means_adopted_By Other means (please specify),Means_adopted_By Over Alcoholism,Means_adopted_By Overdose of sleeping pills,Means_adopted_By Self Infliction of injury,Means_adopted_By coming under running vehicles/trains,Means_adopted_By touching electric wires,Professional_Profile_Farming/Agriculture Activity,Professional_Profile_House Wife,Professional_Profile_Others (Please Specify),Professional_Profile_Professional Activity,Professional_Profile_Public Sector Undertaking,Professional_Profile_Retired Person,Professional_Profile_Self-employed (Business activity),Professional_Profile_Service (Government),Professional_Profile_Service (Private),Professional_Profile_Student,Professional_Profile_Unemployed,Social_Status_Divorcee,Social_Status_Married,Social_Status_Never Married,Social_Status_Seperated,Social_Status_Widowed/Widower,Total_Causes,Total_Education_Status,Total_Means_adopted,Total_Professional_Profile,Total_Social_Status
6,A & N Islands,2007,156.0,100.0,56.0,0.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,9.0,2.0,4.0,0.0,0.0,0.0,26.0,9.0,0.0,70.0,23.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0,2,13,60,40,27,0,14,0.0,19.0,5.0,0.0,3.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,30.0,23.0,0.0,0.0,3.0,0.0,10.0,40.0,17.0,12.0,0,88,68,0,0,156.0,156.0,156.0,151.0,156.0
18,Andhra Pradesh,2007,14882.0,9949.0,4933.0,842.0,57.0,180.0,1249.0,40.0,6.0,203.0,45.0,230.0,39.0,2660.0,7.0,1.0,449.0,1082.0,316.0,52.0,2607.0,2784.0,134.0,13.0,1205.0,155.0,155.0,85.0,286.0,95,157,898,1661,3463,5105,52,3451,5301.0,2074.0,923.0,26.0,1410.0,2875.0,48.0,83.0,54.0,1.0,0.0,929.0,140.0,46.0,23.0,891.0,58.0,1797.0,2480.0,6079.0,479.0,239.0,78.0,980.0,275.0,1373.0,699.0,403.0,138,11410,1807,928,599,14882.0,14882.0,14882.0,14882.0,14882.0
30,Arunachal Pradesh,2007,129.0,98.0,31.0,1.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,2.0,0.0,69.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0,2,19,9,35,37,0,27,0.0,7.0,5.0,14.0,0.0,84.0,0.0,1.0,0.0,0.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,15.0,10.0,30.0,1.0,0.0,2.0,4.0,9.0,19.0,11.0,27.0,0,82,47,0,0,129.0,129.0,129.0,128.0,129.0
42,Assam,2007,3062.0,2116.0,946.0,0.0,22.0,25.0,1048.0,12.0,14.0,7.0,1.0,99.0,20.0,356.0,0.0,10.0,1.0,42.0,429.0,9.0,248.0,240.0,0.0,43.0,118.0,73.0,199.0,18.0,28.0,22,30,185,515,1227,504,5,574,60.0,583.0,329.0,3.0,71.0,1411.0,3.0,8.0,30.0,0.0,0.0,483.0,3.0,0.0,2.0,44.0,32.0,278.0,516.0,1277.0,150.0,93.0,7.0,428.0,17.0,42.0,209.0,36.0,52,1763,950,168,129,3062.0,3062.0,3062.0,3053.0,3062.0
54,Bihar,2007,965.0,534.0,431.0,3.0,2.0,1.0,69.0,1.0,4.0,26.0,31.0,33.0,2.0,218.0,10.0,5.0,3.0,46.0,76.0,8.0,220.0,81.0,0.0,0.0,16.0,0.0,10.0,49.0,51.0,19,44,72,193,168,266,5,198,114.0,115.0,99.0,16.0,69.0,108.0,2.0,7.0,3.0,2.0,0.0,347.0,15.0,7.0,30.0,8.0,23.0,86.0,171.0,429.0,3.0,19.0,3.0,11.0,8.0,36.0,115.0,84.0,17,556,306,18,68,965.0,965.0,965.0,965.0,965.0
66,Chandigarh,2007,82.0,60.0,22.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,8.0,0.0,39.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,10.0,1,10,15,31,15,3,0,7,0.0,8.0,0.0,1.0,6.0,61.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,21.0,7.0,0.0,0.0,2.0,3.0,5.0,17.0,15.0,10.0,0,61,21,0,0,82.0,82.0,82.0,80.0,82.0
78,Chhattisgarh,2007,4839.0,3256.0,1583.0,58.0,17.0,7.0,1668.0,12.0,2.0,32.0,124.0,41.0,37.0,652.0,3.0,4.0,13.0,215.0,106.0,11.0,1141.0,519.0,8.0,41.0,22.0,25.0,8.0,33.0,40.0,12,45,315,652,1275,1068,3,1469,1018.0,399.0,196.0,294.0,386.0,1751.0,33.0,0.0,11.0,0.0,0.0,557.0,82.0,1.0,1.0,70.0,40.0,1593.0,848.0,1387.0,109.0,24.0,2.0,135.0,38.0,233.0,279.0,191.0,5,3699,973,15,147,4839.0,4839.0,4839.0,4839.0,4839.0
90,D & N Haveli,2007,76.0,44.0,32.0,1.0,1.0,1.0,12.0,0.0,0.0,0.0,5.0,0.0,1.0,32.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,6.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0,1,4,6,8,46,0,11,0.0,18.0,0.0,0.0,3.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,28.0,2.0,0.0,0.0,5.0,2.0,0.0,8.0,7.0,7.0,0,65,10,1,0,76.0,76.0,76.0,76.0,76.0
102,Daman & Diu,2007,15.0,6.0,9.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4,8,0,0,3,0.0,1.0,0.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0,7,8,0,0,15.0,15.0,15.0,15.0,15.0
114,Delhi (Ut),2007,1481.0,966.0,515.0,22.0,13.0,1.0,581.0,4.0,1.0,71.0,18.0,43.0,7.0,323.0,7.0,0.0,2.0,21.0,49.0,0.0,171.0,67.0,0.0,0.0,24.0,5.0,4.0,7.0,40.0,12,48,190,347,362,269,2,251,44.0,189.0,5.0,19.0,93.0,915.0,22.0,9.0,1.0,4.0,0.0,162.0,1.0,3.0,8.0,0.0,6.0,23.0,263.0,491.0,5.0,14.0,5.0,17.0,28.0,248.0,135.0,252.0,2,995,415,55,14,1481.0,1481.0,1481.0,1481.0,1481.0
